stichdatum;plz;geschlecht;vorname;anzahl;rang;ortbez18
2018-11-01;3504;w;Elisabeth;12;2;Niederhünigen/Oberhünigen
2018-11-01;3504;w;Regula;9;5;Niederhünigen/Oberhünigen
2018-11-01;3504;w;Susanne;9;5;Niederhünigen/Oberhünigen
2018-11-01;3506;w;Barbara;32;5;Grosshöchstetten
2018-11-01;3507;w;Ursula;19;2;Biglen
2018-11-01;3507;w;Barbara;17;4;Biglen
2018-11-01;3508;w;Melanie;11;3;Arni BE
2018-11-01;3508;m;Martin;14;4;Arni BE
2018-11-01;3508;m;Andreas;13;5;Arni BE
2018-11-01;3510;w;Elisabeth;63;1;Konolfingen/Freimettigen/Häutligen
2018-11-01;3510;w;Andrea;48;4;Konolfingen/Freimettigen/Häutligen
2018-11-01;3510;w;Barbara;46;5;Konolfingen/Freimettigen/Häutligen
2018-11-01;3510;w;Therese;46;5;Konolfingen/Freimettigen/Häutligen
2018-11-01;3510;m;Michael;65;3;Konolfingen/Freimettigen/Häutligen
2018-11-01;3510;m;Daniel;59;5;Konolfingen/Freimettigen/Häutligen
2018-11-01;3512;w;Sandra;16;3;Walkringen
2018-11-01;3512;m;Michael;24;1;Walkringen
2018-11-01;3512;m;Daniel;20;3;Walkringen
2018-11-01;3513;w;Elisabeth;11;1;Bigenthal
2018-11-01;3513;w;Silvia;7;4;Bigenthal
2018-11-01;3513;m;Hans;18;1;Bigenthal
2018-11-01;3513;m;Peter;15;2;Bigenthal
2018-11-01;3513;m;Christoph;12;3;Bigenthal
2018-11-01;3513;m;Thomas;11;5;Bigenthal
2018-11-01;3531;w;Anna;7;3;Oberthal
2018-11-01;3531;w;Sonja;7;3;Oberthal
2018-11-01;3531;m;Paul;12;3;Oberthal
2018-11-01;3533;m;Hans;18;5;Bowil
2018-11-01;3534;w;Marianne;20;1;Signau
2018-11-01;3534;m;Hans;35;1;Signau
2018-11-01;3534;m;Peter;27;3;Signau
2018-11-01;3535;w;Elisabeth;15;1;Schüpbach
2018-11-01;3535;w;Ruth;13;2;Schüpbach
2018-11-01;3535;m;Hans;25;1;Schüpbach
2018-11-01;3536;w;Elisabeth;11;1;Aeschau
2018-11-01;3536;w;n/a;5;5;Aeschau
2018-11-01;3536;m;Hans;10;5;Aeschau
2018-11-01;3537;m;Peter;35;4;Eggiwil
2018-11-01;3537;m;Andreas;33;5;Eggiwil
2018-11-01;3538;w;Monika;11;1;Röthenbach i. E.
2018-11-01;3538;w;Elisabeth;10;2;Röthenbach i. E.
2018-11-01;3538;m;Daniel;18;4;Röthenbach i. E.
2018-11-01;3543;w;Esther;6;5;Emmenmatt
2018-11-01;3543;m;Daniel;8;5;Emmenmatt
2018-11-01;3550;w;Ruth;81;2;Langnau i. E.
2018-11-01;3550;m;Hans;125;1;Langnau i. E.
2018-11-01;3551;w;n/a;5;1;Oberfrittenbach
2018-11-01;3551;m;Hans;10;1;Oberfrittenbach
2018-11-01;3552;m;Fritz;23;2;Bärau
2018-11-01;3553;w;Susanne;7;4;Gohl
2018-11-01;3553;m;Alfred;10;3;Gohl
2018-11-01;3556;w;Erika;8;5;Trub
2018-11-01;3556;w;Sandra;8;5;Trub
2018-11-01;3557;m;Fritz;13;2;Fankhaus (Trub)
2018-11-01;3600;w;Heidi;140;5;Thun
2018-11-01;3604;w;Verena;131;4;Thun
2018-11-01;3604;w;Sandra;130;5;Thun
2018-11-01;3604;m;Hans;168;3;Thun
2018-11-01;3604;m;Martin;132;5;Thun
2018-11-01;3608;w;Ruth;30;1;Thun
2018-11-01;3608;w;Erika;25;3;Thun
2018-11-01;3608;m;Peter;41;2;Thun
2018-11-01;3608;m;Daniel;30;5;Thun
2018-11-01;3612;w;Barbara;93;5;Steffisburg
2018-11-01;3612;m;Peter;182;1;Steffisburg
2018-11-01;3613;w;Ursula;48;1;Steffisburg
2018-11-01;3613;w;Barbara;44;2;Steffisburg
2018-11-01;3614;w;Ruth;7;5;Unterlangenegg
2018-11-01;3614;m;Hans;10;4;Unterlangenegg
2018-11-01;3615;m;Markus;22;2;Heimenschwand
2018-11-01;3616;w;Sandra;7;5;Schwarzenegg
2018-11-01;3617;w;Verena;13;1;Fahrni b. Thun
2018-11-01;3617;m;Hans;19;2;Fahrni b. Thun
2018-11-01;3618;m;Daniel;16;2;Süderen
2018-11-01;3618;m;Michael;11;4;Süderen
2018-11-01;3618;m;Peter;11;4;Süderen
2018-11-01;3623;w;n/a;5;3;Teuffenthal BE/Horrenbach/Buchen BE
2018-11-01;3623;m;Hans;16;1;Teuffenthal BE/Horrenbach/Buchen BE
2018-11-01;3623;m;Daniel;6;5;Teuffenthal BE/Horrenbach/Buchen BE
2018-11-01;3623;m;Martin;6;5;Teuffenthal BE/Horrenbach/Buchen BE
2018-11-01;3624;w;Ruth;17;1;Schwendibach/Goldiwil (Thun)
2018-11-01;3624;w;Elisabeth;16;2;Schwendibach/Goldiwil (Thun)
2018-11-01;3625;w;Ruth;10;2;Heiligenschwendi
2018-11-01;3625;w;Monika;7;4;Heiligenschwendi
2018-11-01;3625;w;Therese;7;4;Heiligenschwendi
2018-11-01;3625;w;Elisabeth;7;4;Heiligenschwendi
2018-11-01;3625;m;Martin;11;3;Heiligenschwendi
2018-11-01;3626;w;Margrit;31;5;Hünibach
2018-11-01;3627;w;Sandra;71;2;Heimberg
2018-11-01;3628;w;Christine;18;5;Uttigen
2018-11-01;3628;w;Daniela;18;5;Uttigen
2018-11-01;3629;w;Claudia;17;4;Kiesen/Jaberg/Oppligen
2018-11-01;3629;m;Peter;29;1;Kiesen/Jaberg/Oppligen
2018-11-01;3631;w;Tabea;6;2;Höfen b. Thun
2018-11-01;3631;m;Daniel;10;1;Höfen b. Thun
2018-11-01;3632;w;Rosmarie;6;4;Niederstocken/Oberstocken
2018-11-01;3632;m;Martin;10;2;Niederstocken/Oberstocken
2018-11-01;3633;w;Ursula;16;1;Amsoldingen
2018-11-01;3633;w;Sandra;12;3;Amsoldingen
2018-11-01;3634;w;Ruth;25;2;Thierachern
2018-11-01;3634;w;Elisabeth;23;4;Thierachern
2018-11-01;3634;m;Peter;31;2;Thierachern
2018-11-01;3634;m;Martin;31;2;Thierachern
2018-11-01;3635;m;Beat;10;3;Uebeschi
2018-11-01;3636;m;Hans;13;4;Längenbühl/Forst
2018-11-01;3638;m;Hans;28;1;Pohlern/Blumenstein
2018-11-01;3638;m;Peter;23;4;Pohlern/Blumenstein
2018-11-01;3646;m;Thomas;20;2;Einigen
2018-11-01;3647;w;Cornelia;10;5;Reutigen
2018-11-01;3647;m;Hans;17;2;Reutigen
2018-11-01;3647;m;Thomas;14;4;Reutigen
2018-11-01;3653;w;Margrit;29;3;Oberhofen Thun'see
2018-11-01;3653;w;Verena;28;5;Oberhofen Thun'see
2018-11-01;3653;m;Peter;55;1;Oberhofen Thun'see
2018-11-01;3654;w;Ruth;12;5;Gunten
2018-11-01;3654;m;Daniel;16;5;Gunten
2018-11-01;3655;w;Verena;23;4;Sigriswil
2018-11-01;3655;w;Ursula;19;5;Sigriswil
2018-11-01;3655;m;Christian;24;4;Sigriswil
2018-11-01;3657;w;Erika;9;1;Schwanden Sigrisw
2018-11-01;3657;m;Christian;15;1;Schwanden Sigrisw
2018-11-01;3657;m;Walter;13;3;Schwanden Sigrisw
2018-11-01;3658;m;Hans;22;2;Merligen
2018-11-01;3661;w;Ruth;67;1;Uetendorf
2018-11-01;3661;w;Elisabeth;62;2;Uetendorf
2018-11-01;3661;m;Martin;70;4;Uetendorf
2018-11-01;3662;w;Monika;22;1;Seftigen
2018-11-01;3662;w;Ursula;21;2;Seftigen
2018-11-01;3662;w;Barbara;20;4;Seftigen
2018-11-01;3662;m;Peter;41;1;Seftigen
2018-11-01;3662;m;Daniel;31;2;Seftigen
2018-11-01;3663;w;Heidi;10;2;Gurzelen
2018-11-01;3663;m;Peter;17;1;Gurzelen
2018-11-01;3663;m;Thomas;12;4;Gurzelen
2018-11-01;3665;m;Michael;33;5;Wattenwil
2018-11-01;3671;w;Sandra;12;3;Brenzikofen/Herbligen
2018-11-01;3672;w;Ursula;38;2;Aeschlen/Oberdiessbach
2018-11-01;3673;m;Andreas;19;2;Linden
2018-11-01;3673;m;Michael;18;3;Linden
2018-11-01;3674;w;Sandra;6;1;Bleiken
2018-11-01;3674;m;Fritz;8;2;Bleiken
2018-11-01;3674;m;n/a;5;5;Bleiken
2018-11-01;3700;m;Hans;124;3;Spiez
2018-11-01;3702;m;Martin;11;1;Hondrich
2018-11-01;3702;m;Daniel;8;5;Hondrich
2018-11-01;3702;m;Simon;8;5;Hondrich
2018-11-01;3703;w;Ruth;22;3;Aeschiried/Aeschi b. Spiez
2018-11-01;3703;w;Sandra;19;5;Aeschiried/Aeschi b. Spiez
2018-11-01;3704;w;Anita;13;4;Krattigen
2018-11-01;3704;w;Nicole;12;5;Krattigen
2018-11-01;3704;m;Daniel;17;4;Krattigen
2018-11-01;3705;w;Ursula;25;1;Faulensee
2018-11-01;3705;w;Elisabeth;19;2;Faulensee
2018-11-01;3705;m;Daniel;23;2;Faulensee
2018-11-01;3706;w;Barbara;13;1;Leissigen
2018-11-01;3706;w;Andrea;11;5;Leissigen
2018-11-01;3706;m;Daniel;18;4;Leissigen
2018-11-01;3706;m;Thomas;17;5;Leissigen
2018-11-01;3707;w;n/a;5;3;Därligen
2018-11-01;3707;m;Peter;11;1;Därligen
2018-11-01;3707;m;Martin;7;3;Därligen
2018-11-01;3707;m;Andreas;7;3;Därligen
2018-11-01;3707;m;Walter;6;5;Därligen
2018-11-01;3707;m;Beat;6;5;Därligen
2018-11-01;3711;w;Heidi;6;1;Mülenen/Emdthal
2018-11-01;3711;m;n/a;4;5;Mülenen/Emdthal
2018-11-01;3713;w;Heidi;25;4;Reichenbach i. K.
2018-11-01;3713;m;Adrian;33;4;Reichenbach i. K.
2018-11-01;3714;w;Elisabeth;53;4;Wengi b. Frutigen/Frutigen
2018-11-01;3714;m;Peter;107;1;Wengi b. Frutigen/Frutigen
2018-11-01;3714;m;Hans;104;2;Wengi b. Frutigen/Frutigen
2018-11-01;3716;w;Melanie;9;2;Kandergrund
2018-11-01;3716;w;Daniela;8;3;Kandergrund
2018-11-01;4053;w;Anna;145;2;Basel
2018-11-01;4054;w;Christine;125;4;Basel
2018-11-01;4054;w;Ruth;123;5;Basel
2018-11-01;4054;m;Daniel;168;4;Basel
2018-11-01;4055;w;Anna;138;2;Basel
2018-11-01;4055;w;Claudia;129;3;Basel
2018-11-01;4055;w;Elisabeth;104;5;Basel
2018-11-01;4057;m;Daniel;221;1;Basel
2018-11-01;4057;m;Thomas;157;3;Basel
2018-11-01;4057;m;Martin;143;4;Basel
2018-11-01;4058;w;Anna;174;2;Basel
2018-11-01;4058;w;Claudia;121;4;Basel
2018-11-01;4058;w;Andrea;120;5;Basel
2018-11-01;4059;m;Peter;77;2;Basel
2018-11-01;4102;w;Ruth;87;5;Binningen
2018-11-01;4102;m;Andreas;146;4;Binningen
2018-11-01;4103;m;Andreas;65;4;Bottmingen
2018-11-01;4104;w;Sandra;67;4;Oberwil BL
2018-11-01;4104;m;Daniel;110;3;Oberwil BL
2018-11-01;4105;m;Daniel;40;3;Biel-Benken BL
2018-11-01;4105;m;Thomas;38;4;Biel-Benken BL
2018-11-01;4106;m;Peter;145;1;Therwil
2018-11-01;4108;w;Sabrina;11;5;Witterswil
2018-11-01;4108;m;Christian;19;2;Witterswil
2018-11-01;4112;w;Silvia;16;4;Bättwil/Flüh
2018-11-01;4114;w;Sandra;16;3;Hofstetten SO
2018-11-01;4116;w;Nadine;7;5;Metzerlen
2018-11-01;4116;m;Martin;12;1;Metzerlen
2018-11-01;4116;m;Daniel;12;1;Metzerlen
2018-11-01;4117;w;n/a;4;1;Burg im Leimental
2018-11-01;4117;w;n/a;3;5;Burg im Leimental
2018-11-01;4117;m;Hans;6;1;Burg im Leimental
2018-11-01;4118;w;Claudia;11;2;Rodersdorf
2018-11-01;4118;m;Christian;20;3;Rodersdorf
2018-11-01;4125;w;Ruth;153;1;Riehen
2018-11-01;4125;m;Thomas;221;2;Riehen
2018-11-01;4125;m;Andreas;187;4;Riehen
2018-11-01;4125;m;Christian;167;5;Riehen
2018-11-01;4126;w;Eva;10;3;Bettingen
2018-11-01;4126;m;Daniel;24;1;Bettingen
2018-11-01;4126;m;Markus;17;2;Bettingen
2018-11-01;4126;m;Thomas;16;3;Bettingen
2018-11-01;4127;w;Claudia;65;4;Birsfelden
2018-11-01;4127;m;Daniel;94;2;Birsfelden
2018-11-01;4133;m;Peter;133;1;Pratteln
2018-11-01;4133;m;Thomas;112;3;Pratteln
2018-11-01;4133;m;Michael;97;5;Pratteln
2018-11-01;4142;w;Ruth;85;4;Münchenstein
2018-11-01;4143;m;Daniel;71;4;Dornach
2018-11-01;4144;w;Maria;87;1;Arlesheim
2018-11-01;4144;w;Nicole;72;3;Arlesheim
2018-11-01;4144;m;Andreas;99;2;Arlesheim
2018-11-01;4145;m;Peter;13;1;Gempen
2018-11-01;4145;m;Christoph;9;5;Gempen
2018-11-01;4147;w;Sandra;58;5;Aesch BL
2018-11-01;4148;w;Claudia;18;2;Pfeffingen
2018-11-01;4148;m;Thomas;31;2;Pfeffingen
2018-11-01;4148;m;Andreas;27;4;Pfeffingen
2018-11-01;4153;m;Markus;153;5;Reinach BL
2018-11-01;4202;w;Elisabeth;11;4;Duggingen
2018-11-01;4203;w;Sandra;12;2;Grellingen
2018-11-01;4203;m;Peter;25;1;Grellingen
2018-11-01;4204;w;Andrea;11;2;Himmelried
2018-11-01;4204;w;Claudia;10;3;Himmelried
2018-11-01;4206;m;Daniel;15;3;Seewen SO
2018-11-01;4207;w;Heidi;6;4;Bretzwil
2018-11-01;4207;w;Barbara;6;4;Bretzwil
2018-11-01;4208;w;Andrea;17;2;Nunningen
2018-11-01;4208;m;Martin;19;5;Nunningen
2018-11-01;4222;w;Nicole;17;3;Zwingen
2018-11-01;4222;m;Peter;23;4;Zwingen
2018-11-01;4223;w;Verena;7;2;Blauen
2018-11-01;4223;m;Thomas;7;4;Blauen
2018-11-01;4224;w;n/a;4;3;Nenzlingen
2018-11-01;4224;m;Bruno;6;4;Nenzlingen
2018-11-01;4225;w;Verena;13;2;Brislach
2018-11-01;4225;w;Sabrina;12;3;Brislach
2018-11-01;4226;m;Daniel;52;1;Breitenbach
2018-11-01;4226;m;Peter;42;2;Breitenbach
2018-11-01;4227;w;Sandra;15;4;Büsserach
2018-11-01;4227;m;Daniel;32;1;Büsserach
2018-11-01;4227;m;Peter;24;4;Büsserach
2018-11-01;4228;w;Barbara;7;5;Erschwil
2018-11-01;4228;w;Daniela;7;5;Erschwil
2018-11-01;4228;m;Daniel;14;1;Erschwil
2018-11-01;4229;m;Thomas;7;1;Beinwil SO
2018-11-01;4229;m;n/a;4;2;Beinwil SO
2018-11-01;4232;m;Markus;11;1;Fehren
2018-11-01;4232;m;Daniel;9;2;Fehren
2018-11-01;4232;m;Andreas;8;4;Fehren
2018-11-01;4233;w;Melanie;6;2;Meltingen
2018-11-01;4233;m;Andreas;14;1;Meltingen
2018-11-01;4234;w;Rita;11;1;Zullwil
2018-11-01;4234;w;Monika;8;2;Zullwil
2018-11-01;4234;m;Thomas;11;1;Zullwil
2018-11-01;4242;m;Thomas;60;2;Laufen
2018-11-01;4243;w;Daniela;7;3;Dittingen
2018-11-01;4243;m;Urs;9;2;Dittingen
2018-11-01;4243;m;Daniel;9;2;Dittingen
2018-11-01;4243;m;Michael;8;5;Dittingen
2018-11-01;4244;m;Markus;20;3;Röschenz
2018-11-01;4245;w;Elisabeth;10;3;Kleinlützel
2018-11-01;4245;w;Ursula;10;3;Kleinlützel
2018-11-01;4245;m;Peter;20;1;Kleinlützel
2018-11-01;4245;m;Daniel;17;2;Kleinlützel
2018-11-01;4246;w;Elisabeth;12;3;Wahlen b. Laufen
2018-11-01;4246;m;Thomas;18;2;Wahlen b. Laufen
2018-11-01;4246;m;Michael;15;4;Wahlen b. Laufen
2018-11-01;4247;m;Daniel;6;1;Grindel
2018-11-01;4252;w;Margrit;7;5;Bärschwil
2018-11-01;4252;m;Pascal;9;3;Bärschwil
2018-11-01;4252;m;Anton;8;5;Bärschwil
2018-11-01;4252;m;Martin;8;5;Bärschwil
2018-11-01;4254;w;Monika;8;1;Liesberg Dorf
2018-11-01;4254;m;Stefan;8;4;Liesberg Dorf
2018-11-01;4254;m;Thomas;8;4;Liesberg Dorf
2018-11-01;4302;w;Ruth;8;5;Augst BL
2018-11-01;4302;m;Peter;14;1;Augst BL
2018-11-01;4302;m;Walter;10;5;Augst BL
2018-11-01;4303;w;Sandra;40;2;Kaiseraugst
